n,m,d,n_red,m_red,rep,steps,time,alpha,IsAut_Sp,IsAut_Re,steps,time_a,alpha_a,|a|,IsAut_Sp_a,IsAut_Re_a
10,10,3,10,10,1,17,0.09899711608886719,0.956645165088113,True,True,16,0.2092149257659912,0.9610786660767422,10,True,True
10,10,3,10,10,2,23,0.11770224571228027,0.6210739333860268,True,True,20,0.46984124183654785,0.6229385315082625,10,True,True
10,10,3,10,10,3,21,0.10476303100585938,0.8175867502915893,True,True,18,0.22073006629943848,0.8187396303517275,10,True,True
10,10,3,10,10,4,20,0.101165771484375,0.4275821499098546,True,True,17,0.2897770404815674,0.4282432173959433,10,True,True
10,10,3,9,10,5,11,0.05364179611206055,0.5347056597172977,True,True,9,0.11455202102661133,0.5351823890138201,9,True,True
10,10,4,9,8,1,46,0.17105388641357422,0.979923207753872,True,True,39,0.47005295753479004,0.9814244814323083,9,True,True
10,10,4,10,10,2,17,0.08720016479492188,0.7904446484996344,True,True,14,0.1954050064086914,0.7914798180695255,10,True,True
10,10,4,8,9,3,22,0.08578181266784668,1.2053623344152777,True,True,0,0.008382081985473633,0.2037037037037037,8,True,True
10,10,4,8,8,4,29,0.10455131530761719,0.9251917332179123,True,True,24,0.22449111938476562,0.9277170738131982,8,True,True
10,10,4,9,9,5,75,0.3128190040588379,0.2596522358035012,True,True,62,0.5847060680389404,0.2613712423934483,9,True,True
10,10,5,5,4,1,13,0.017301082611083984,2.170091234287902,True,True,12,0.0657658576965332,2.170091138231626,5,True,True
10,10,5,7,5,2,39,0.0777428150177002,0.7731540745217985,True,True,33,0.18284296989440918,0.7731526689173954,7,True,True
10,10,5,9,7,3,8,0.028879165649414062,0.9786982631087082,True,True,7,0.08384895324707031,0.97886111131171,9,True,True
10,10,5,6,6,4,32,0.06459808349609375,1.2472782425764855,True,True,27,0.133897066116333,1.2488231503637819,6,True,True
10,10,5,8,9,5,167,0.5997507572174072,2.8397345805146816,True,True,134,1.0130829811096191,2.9708723656304503,7,True,True
10,20,3,10,19,1,27,0.2500460147857666,1.3581320342269323,True,True,23,0.4368128776550293,1.3617377398746482,10,True,True
10,20,3,10,20,2,23,0.21990609169006348,1.588914986824903,True,True,20,0.48653316497802734,1.601941840101905,10,True,True
10,20,3,10,20,3,33,0.3128209114074707,2.274714324334739,True,True,29,0.5798280239105225,2.308202934442747,10,True,True
10,20,3,10,20,4,49,0.45534205436706543,1.857782817400386,True,True,42,0.7519278526306152,1.8811666716386757,10,True,True
10,20,3,10,19,5,30,0.26860904693603516,1.6058325536657145,True,True,26,0.5687620639801025,1.6166427114761517,10,True,True
10,20,4,10,18,1,24,0.20577692985534668,1.222434291125208,True,True,20,0.32147979736328125,1.2287583134254363,10,True,True
10,20,4,10,16,2,24,0.18446111679077148,2.335170648618557,True,True,21,0.3631711006164551,2.389210810642452,10,True,True
10,20,4,10,18,3,24,0.2065732479095459,1.6828163556884876,True,True,21,0.36566829681396484,1.6911678971683988,10,True,True
10,20,4,10,18,4,52,0.4504246711730957,2.000674807733116,True,True,46,0.6400761604309082,2.0313996625351853,10,True,True
10,20,4,10,18,5,20,0.1734001636505127,1.3978464487836346,True,True,18,0.265200138092041,1.4260788322925386,10,True,True
10,20,5,10,15,1,44,0.3347148895263672,2.086161775526283,True,True,0,0.01075887680053711,0.33333236111394676,10,True,True
10,20,5,10,18,2,27,0.24352216720581055,1.3921910535768585,True,True,23,0.34297919273376465,1.3959380866643931,10,True,True
10,20,5,9,13,3,28,0.16083192825317383,2.0530529094175574,True,True,24,0.23670721054077148,2.0610981093641727,9,True,True
10,20,5,10,15,4,11,0.08272814750671387,0.9203211428020319,True,True,9,0.11138296127319336,0.9283927454968681,10,True,True
10,20,5,10,18,5,62,0.5242602825164795,0.9278337714737637,True,True,86,1.1759898662567139,0.9550715235021785,10,True,True
10,30,3,10,29,1,47,0.6252832412719727,3.643931463742601,True,True,0,0.019396066665649414,0.30057803468208094,10,True,True
10,30,3,10,29,2,46,0.6175930500030518,5.27235448675765,True,True,35,1.0649330615997314,5.490575033162223,10,True,True
10,30,3,10,30,3,34,0.46558308601379395,3.228467176106394,True,True,31,1.0426528453826904,3.3057599568304887,10,True,True
10,30,3,10,28,4,92,1.1811549663543701,5.642580490373696,True,True,97,3.006074905395508,8.033833697996352,10,True,True
10,30,3,10,30,5,21,0.2960388660430908,2.221771769079817,True,True,19,0.6830852031707764,2.2401743648069328,10,True,True
10,30,4,10,24,1,21,0.2414689064025879,2.706947294238285,True,True,17,0.39066600799560547,2.735349560707267,8,True,True
10,30,4,10,25,2,23,0.2722036838531494,2.3121992339859827,True,True,20,0.4046630859375,2.3398214103111274,10,True,True
10,30,4,10,25,3,27,0.3194098472595215,1.9200608005648598,True,True,19,0.4235110282897949,1.9331450478920138,9,True,True
10,30,4,10,26,4,101,1.1986918449401855,8.676536821415008,True,True,55,1.0116357803344727,10.12835303788458,10,True,True
10,30,4,10,26,5,64,0.7667200565338135,1.9432388256345787,True,True,56,1.010756254196167,1.9829589364239193,10,True,True
10,30,5,10,25,1,109,1.237375020980835,2.8289119238444833,True,True,80,1.286290168762207,2.9955697805663037,8,True,True
10,30,5,10,19,2,50,0.4426140785217285,0.837559650020053,True,True,44,0.5946638584136963,0.8486764128069371,10,True,True
10,30,5,10,27,3,122,1.4914019107818604,2.586667531254243,True,True,100,1.3548741340637207,2.807767206192859,10,True,True
10,30,5,10,26,4,73,0.8614459037780762,2.79908155999391,True,True,85,1.6616508960723877,2.921416530190269,10,True,True
10,30,5,10,23,5,110,1.15183687210083,3.0839435816163268,True,True,106,1.5517730712890625,3.272042108448412,10,True,True
10,40,3,10,38,1,19,0.33479809761047363,2.0056537035121367,True,True,17,0.578883171081543,2.0246613683104386,10,True,True
10,40,3,10,39,2,21,0.3774220943450928,2.114968909669803,True,True,19,0.5387418270111084,2.1380697396050783,10,True,True
10,40,3,10,38,3,97,1.65494704246521,3.4599415751233926,True,True,74,2.4049582481384277,4.148096228737046,10,True,True
10,40,3,10,38,4,20,0.3511083126068115,3.4451644304951103,True,True,18,0.5947136878967285,3.511489418473769,10,True,True
10,40,3,10,40,5,38,0.6826040744781494,5.221924738560813,True,True,34,0.7717318534851074,5.659088768455204,10,True,True
10,40,4,10,33,1,30,0.45401716232299805,1.955999114046272,True,True,0,0.021206140518188477,0.39492753623188404,10,True,True
10,40,4,10,35,2,32,0.5064661502838135,4.278607668956049,True,True,32,0.7830610275268555,4.468816723613778,10,True,True
10,40,4,10,35,3,34,0.5406920909881592,5.994973391032902,True,True,31,0.7649037837982178,6.234861492665034,10,True,True
10,40,4,10,37,4,38,0.6382699012756348,3.2324911699927172,True,True,33,0.6126818656921387,3.3097056464199026,10,True,True
10,40,4,10,32,5,26,0.3808770179748535,2.154368026822616,True,True,24,0.49108219146728516,2.182863773343562,10,True,True
10,40,5,10,32,1,129,1.851525068283081,3.6540469115949326,True,True,131,2.69069504737854,4.2562746259824875,10,True,True
10,40,5,10,26,2,33,0.3964540958404541,4.243398493178582,True,True,0,0.01609206199645996,0.36519607843137253,10,True,True
10,40,5,10,35,3,31,0.49384593963623047,4.665014081562246,True,True,27,0.47734928131103516,4.793107238330708,10,True,True
10,40,5,10,32,4,32,0.4645841121673584,1.899319683028606,True,True,27,0.5638840198516846,1.9161555597694393,10,True,True
10,40,5,10,31,5,20,0.28883886337280273,1.9425989786467575,True,True,15,0.29101109504699707,1.9643417778079495,9,True,True
10,50,3,10,50,1,33,0.7389621734619141,3.6542627618021806,True,True,30,1.2402560710906982,3.75910608525512,10,True,True
10,50,3,10,49,2,24,0.5311579704284668,4.094520828202957,True,True,21,0.8878579139709473,4.2777181949581164,10,True,True
10,50,3,10,47,3,15,0.3267650604248047,3.145666737091676,True,True,13,0.5068459510803223,3.178959190827042,10,True,True
10,50,3,10,49,4,30,0.6676721572875977,6.963217653450813,True,True,0,0.03493928909301758,0.5604113110539846,10,True,True
10,50,3,10,48,5,22,0.48527002334594727,3.630928115086489,True,True,19,0.7330617904663086,3.724602844047264,10,True,True
10,50,4,10,46,1,41,0.8599669933319092,3.656749746756504,True,True,0,0.025204181671142578,0.34652114597544337,10,True,True
10,50,4,10,44,2,95,1.8480720520019531,5.039075488617486,True,True,164,3.5729410648345947,6.622234754600112,10,True,True
