;id;name;reaction_string
0;2AGPGAT161;2-acyl-glycerophospho-glycerol acyltransferase (n-C16:1); 1:2agpg161_c +  1:atp_c +  1:hdcea_c-> 1:amp_c +  1:pg161_c +  1:ppi_c
1;2AGPGAT180;2-acyl-glycerophospho-glycerol acyltransferase (n-C18:0); 1:2agpg180_c +  1:atp_c +  1:ocdca_c-> 1:amp_c +  1:pg180_c +  1:ppi_c
2;2AGPGAT181;2-acyl-glycerophospho-glycerol acyltransferase (n-C18:1); 1:2agpg181_c +  1:atp_c +  1:ocdcea_c-> 1:amp_c +  1:pg181_c +  1:ppi_c
3;2DGLCNRx;2-dehydro-D-gluconate reductase (NADH); 1:2dhglcn_c +  1:h_c +  1:nadh_c-> 1:glcn_c +  1:nad_c
4;2DGLCNRy;2-dehydro-D-gluconate reductase (NADPH); 1:2dhglcn_c +  1:h_c +  1:nadph_c-> 1:glcn_c +  1:nadp_c
5;2DGULRx;2-dehydro-L-gulonate reductase (NADH); 1:2dhguln_c +  1:h_c +  1:nadh_c-> 1:idon__L_c +  1:nad_c
6;12DGR120tipp;1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C12:0); 1:12dgr120_p-> 1:12dgr120_c
7;2DGULRy;2-dehydro-L-gulonate reductase (NADPH); 1:2dhguln_c +  1:h_c +  1:nadph_c-> 1:idon__L_c +  1:nadp_c
8;12DGR140tipp;1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C14:0); 1:12dgr140_p-> 1:12dgr140_c
9;2MAHMP;2-Methyl-4-amino-5-hydroxymethylpyrimidine diphosphatase; 1:2mahmp_c +  1:h2o_c-> 1:4ampm_c +  1:h_c +  1:pi_c
10;12DGR141tipp;1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C14:1); 1:12dgr141_p-> 1:12dgr141_c
11;34dhpactex;Dihydroxyphenylacetaldehyde transport via diffusion (extracellular to periplasm); 1:34dhpac_e-> 1:34dhpac_p
12;12DGR160tipp;1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C16:0); 1:12dgr160_p-> 1:12dgr160_c
13;12DGR161tipp;1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C16:1); 1:12dgr161_p-> 1:12dgr161_c
14;12DGR180tipp;1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C18:0); 1:12dgr180_p-> 1:12dgr180_c
