;position;id;name;compartment;charge;formula
0;0;2agpg161_c;2-Acyl-sn-glycero-3-phosphoglycerol (n-C16:1);c;-1;C22H42O9P1
1;1;amp_c;AMP C10H12N5O7P;c;-2;C10H12N5O7P
2;2;atp_c;ATP C10H12N5O13P3;c;-4;C10H12N5O13P3
3;3;hdcea_c;Hexadecenoate (n-C16:1);c;-1;C16H29O2
4;4;pg161_c;Phosphatidylglycerol (dihexadec-9-enoyl, n-C16:1);c;-1;C38H70O10P1
5;5;ppi_c;Diphosphate;c;-3;HO7P2
6;6;2agpg180_c;2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:0);c;-1;C24H48O9P1
7;7;ocdca_c;Octadecanoate (n-C18:0);c;-1;C18H35O2
8;8;pg180_c;Phosphatidylglycerol (dioctadecanoyl, n-C18:0);c;-1;C42H82O10P1
9;9;2agpg181_c;2-Acyl-sn-glycero-3-phosphoglycerol (n-C18:1);c;-1;C24H46O9P1
10;10;ocdcea_c;Octadecenoate (n-C18:1);c;-1;C18H33O2
11;11;pg181_c;Phosphatidylglycerol (dioctadec-11-enoyl, n-C18:1);c;-1;C42H78O10P1
12;12;2dhglcn_c;2-Dehydro-D-gluconate;c;-1;C6H9O7
13;13;glcn_c;D-Gluconate;c;-1;C6H11O7
14;14;h_c;H+;c;1;H
15;15;nad_c;Nicotinamide adenine dinucleotide;c;-1;C21H26N7O14P2
16;16;nadh_c;Nicotinamide adenine dinucleotide - reduced;c;-2;C21H27N7O14P2
17;17;nadp_c;Nicotinamide adenine dinucleotide phosphate;c;-3;C21H25N7O17P3
18;18;nadph_c;Nicotinamide adenine dinucleotide phosphate - reduced;c;-4;C21H26N7O17P3
19;19;2dhguln_c;2-Dehydro-L-gulonate;c;-1;C6H9O7
20;20;idon__L_c;L-Idonate;c;-1;C6H11O7
21;21;12dgr120_c;1,2-Diacyl-sn-glycerol (didodecanoyl, n-C12:0);c;0;C27H52O5
22;22;12dgr120_p;1,2-Diacyl-sn-glycerol (didodecanoyl, n-C12:0);p;0;C27H52O5
23;23;12dgr140_c;1,2-Diacyl-sn-glycerol (ditetradecanoyl, n-C14:0);c;0;C31H60O5
24;24;12dgr140_p;1,2-Diacyl-sn-glycerol (ditetradecanoyl, n-C14:0);p;0;C31H60O5
25;25;2mahmp_c;2-Methyl-4-amino-5-hydroxymethylpyrimidine diphosphate;c;-3;C6H8N3O7P2
26;26;4ampm_c;4-Amino-2-methyl-5-phosphomethylpyrimidine;c;-2;C6H8N3O4P
27;27;h2o_c;H2O H2O;c;0;H2O
28;28;pi_c;Phosphate;c;-2;HO4P
29;29;12dgr141_c;1,2-Diacyl-sn-glycerol (ditetradec-7-enoyl, n-C14:1);c;0;C31H56O5
30;30;12dgr141_p;1,2-Diacyl-sn-glycerol (ditetradec-7-enoyl, n-C14:1);p;0;C31H56O5
31;31;34dhpac_e;3,4-Dihydroxyphenylacetaldehyde;e;0;C8H8O3
32;32;34dhpac_p;3,4-Dihydroxyphenylacetaldehyde;p;0;C8H8O3
