n	m	n_	m_	d	rep	steps	steps_a	time	time_a	alpha	alpha_a	|a|	isA	isA_a
10	10	10	 	 10	3	1	17	161	0.0943	1.3925	0.9566	5.8593	4 	 True 	 True
10	10	10	 	 10	3	2	23	62	0.1147	0.8350	0.6211	2.7031	5 	 True 	 True
10	10	10	 	 10	3	3	21	404	0.1051	4.1028	0.8176	2.7123	5 	 True 	 True
10	10	10	 	 10	3	4	20	71	0.1031	0.8073	0.4276	2.3403	4 	 True 	 True
10	10	9	 	 10	3	5	11	33	0.0519	0.2436	0.5347	4.8193	4 	 True 	 True
10	10	9	 	 8	4	1	46	54	0.1656	0.3429	0.9799	2.2333	5 	 True 	 True
10	10	10	 	 10	4	2	17	102	0.0875	0.8166	0.7904	8.9651	4 	 True 	 True
10	10	8	 	 9	4	3	22	135	0.0808	0.5867	1.2054	4.2313	5 	 True 	 True
10	10	8	 	 8	4	4	29	33	0.0932	0.1531	0.9252	1.4516	5 	 True 	 True
10	10	9	 	 9	4	5	75	77	0.2959	0.3810	0.2597	0.7175	6 	 True 	 True
10	10	5	 	 4	5	1	13	13	0.0175	0.0371	2.1701	2.6791	3 	 True 	 True
10	10	7	 	 5	5	2	39	29	0.0764	0.0798	0.7732	0.9129	4 	 True 	 True
10	10	9	 	 7	5	3	8	60	0.0287	0.3331	0.9787	5.5465	4 	 True 	 True
10	10	6	 	 6	5	4	32	26	0.0625	0.0771	1.2473	1.6339	5 	 True 	 True
10	10	8	 	 9	5	5	167	74	0.5846	0.3091	2.8397	2.9313	5 	 True 	 True
10	20	10	 	 19	3	1	27	28	0.2382	0.4775	1.3581	4.9946	6 	 True 	 True
10	20	10	 	 20	3	2	23	58	0.2115	1.2770	1.5889	8.8761	6 	 True 	 True
10	20	10	 	 20	3	3	33	23	0.3106	0.3464	2.2747	2.9906	6 	 True 	 True
10	20	10	 	 20	3	4	49	129	0.4519	2.4525	1.8578	6.7684	6 	 True 	 True
10	20	10	 	 19	3	5	30	60	0.2591	0.9001	1.6058	19.2024	5 	 True 	 True
10	20	10	 	 18	4	1	24	120	0.2066	1.3879	1.2224	4.3485	6 	 True 	 True
10	20	10	 	 16	4	2	24	62	0.1783	0.6929	2.3352	9.2383	6 	 True 	 True
10	20	10	 	 18	4	3	24	26	0.2010	0.3244	1.6828	2.1586	6 	 True 	 True
10	20	10	 	 18	4	4	52	51	0.4235	0.5796	2.0007	2.9327	7 	 True 	 True
10	20	10	 	 18	4	5	20	253	0.1661	2.3960	1.3978	7.5671	8 	 True 	 True
10	20	10	 	 15	5	1	44	50	0.3048	0.3957	2.0862	2.0862	9 	 True 	 True
10	20	10	 	 18	5	2	27	22	0.2263	0.2078	1.3922	1.4235	7 	 True 	 True
10	20	9	 	 13	5	3	28	31	0.1564	0.2021	2.0531	2.0531	7 	 True 	 True
10	20	10	 	 15	5	4	11	12	0.0811	0.0982	0.9203	0.9203	7 	 True 	 True
10	20	10	 	 18	5	5	62	135	0.5052	1.2409	0.9278	1.6999	7 	 True 	 True
10	30	10	 	 29	3	1	47	51	0.6007	0.8140	3.6439	5.6305	8 	 True 	 True
10	30	10	 	 29	3	2	46	65	0.5856	1.3538	5.2724	15.6324	7 	 True 	 True
10	30	10	 	 30	3	3	34	65	0.4547	1.5189	3.2285	6.8308	6 	 True 	 True
10	30	10	 	 28	3	4	92	115	1.1259	3.0393	5.6426	12.6723	7 	 True 	 True
10	30	10	 	 30	3	5	21	43	0.2846	1.2058	2.2218	9.9291	7 	 True 	 True
10	30	10	 	 24	4	1	21	17	0.2294	0.2694	2.7069	3.0617	5 	 True 	 True
10	30	10	 	 25	4	2	23	89	0.2587	1.2532	2.3122	5.5495	8 	 True 	 True
10	30	10	 	 25	4	3	27	44	0.3055	0.7732	1.9201	3.9383	7 	 True 	 True
10	30	10	 	 26	4	4	101	37	1.1467	0.5976	8.6765	10.1142	7 	 True 	 True
10	30	10	 	 26	4	5	64	31	0.7260	0.5150	1.9432	2.5454	8 	 True 	 True
10	30	10	 	 25	5	1	109	125	1.1878	1.5414	2.8289	2.8289	8 	 True 	 True
10	30	10	 	 19	5	2	50	51	0.4229	0.5397	0.8376	2.0321	6 	 True 	 True
10	30	10	 	 27	5	3	122	139	1.4553	1.7975	2.5867	2.5867	10 	 True 	 True
10	30	10	 	 26	5	4	73	97	0.8348	1.5899	2.7991	5.6690	8 	 True 	 True
10	30	10	 	 23	5	5	110	126	1.1426	1.5021	3.0839	3.0839	8 	 True 	 True
10	40	10	 	 38	3	1	19	81	0.3288	2.2257	2.0057	5.4055	7 	 True 	 True
10	40	10	 	 39	3	2	21	33	0.3858	0.7910	2.1150	2.8103	7 	 True 	 True
10	40	10	 	 38	3	3	97	45	1.6286	1.2898	3.4599	6.7219	7 	 True 	 True
10	40	10	 	 38	3	4	20	21	0.3508	0.6094	3.4452	7.7360	7 	 True 	 True
10	40	10	 	 40	3	5	38	42	0.6759	0.8263	5.2219	5.2219	9 	 True 	 True
10	40	10	 	 33	4	1	30	42	0.4521	0.8184	1.9560	6.4990	8 	 True 	 True
10	40	10	 	 35	4	2	32	31	0.5062	0.5722	4.2786	4.4995	8 	 True 	 True
10	40	10	 	 35	4	3	34	86	0.5296	1.9192	5.9950	8.8836	7 	 True 	 True
10	40	10	 	 37	4	4	38	42	0.6167	0.7538	3.2325	3.2325	10 	 True 	 True
10	40	10	 	 32	4	5	26	30	0.3729	0.4720	2.1544	2.2118	8 	 True 	 True
10	40	10	 	 32	5	1	129	157	1.7948	2.4039	3.6540	4.9363	8 	 True 	 True
10	40	10	 	 26	5	2	33	67	0.3834	0.8639	4.2434	7.3687	8 	 True 	 True
10	40	10	 	 35	5	3	31	34	0.4850	0.5760	4.6650	4.6650	10 	 True 	 True
10	40	10	 	 32	5	4	32	30	0.4544	0.4736	1.8993	1.9777	9 	 True 	 True
10	40	10	 	 31	5	5	20	22	0.2830	0.3383	1.9426	1.9426	9 	 True 	 True
10	50	10	 	 50	3	1	33	22	0.7238	0.7466	3.6543	6.8478	8 	 True 	 True
10	50	10	 	 49	3	2	24	119	0.5345	4.6002	4.0945	14.2684	7 	 True 	 True
10	50	10	 	 47	3	3	15	30	0.3216	0.9150	3.1457	5.0970	8 	 True 	 True
10	50	10	 	 49	3	4	30	28	0.6690	0.8586	6.9632	7.8439	7 	 True 	 True
10	50	10	 	 48	3	5	22	26	0.4683	0.6867	3.6309	5.1356	8 	 True 	 True
10	50	10	 	 46	4	1	41	37	0.8209	0.8285	3.6567	4.1328	9 	 True 	 True
10	50	10	 	 44	4	2	95	108	1.8036	2.2188	5.0391	5.0391	10 	 True 	 True
10	50	10	 	 45	4	3	30	84	0.5920	1.7926	2.9075	5.1180	9 	 True 	 True
10	50	10	 	 46	4	4	25	21	0.5063	0.4722	2.2608	3.7198	9 	 True 	 True
10	50	10	 	 44	4	5	107	114	2.0153	2.3547	2.8818	4.0774	9 	 True 	 True
10	50	10	 	 45	5	1	35	40	0.6865	0.8596	7.2937	7.2937	10 	 True 	 True
10	50	10	 	 41	5	2	35	23	0.6252	0.4638	6.2907	6.5590	9 	 True 	 True
10	50	10	 	 37	5	3	94	107	1.5222	1.8840	5.6684	5.6684	9 	 True 	 True
10	50	10	 	 41	5	4	27	31	0.4918	0.7483	2.5385	3.1474	8 	 True 	 True
10	50	10	 	 43	5	5	58	65	1.0828	1.3087	6.4950	6.4950	10 	 True 	 True
20	10	18	 	 10	3	1	13	155	0.1154	8.0012	0.4294	8.0168	5 	 True 	 True
20	10	18	 	 10	3	2	20	78	0.1729	4.5357	0.8500	11.3849	6 	 True 	 True
20	10	20	 	 10	3	3	13	121	0.1299	4.2067	0.5321	22.7993	7 	 True 	 True
20	10	19	 	 10	3	4	13	235	0.1215	17.3421	0.7655	17.5226	6 	 True 	 True
20	10	18	 	 10	3	5	43	157	0.3794	9.4265	0.4747	8.9900	5 	 True 	 True
20	10	18	 	 9	4	1	46	50	0.3508	0.6916	0.5994	4.1434	4 	 True 	 True
20	10	19	 	 10	4	2	36	707	0.3271	12.2350	0.3836	10.4225	6 	 True 	 True
20	10	19	 	 10	4	3	39	287	0.3474	8.6397	0.4705	8.2866	7 	 True 	 True
20	10	18	 	 10	4	4	29	57	0.2562	1.7650	0.8347	12.2220	7 	 True 	 True
20	10	18	 	 10	4	5	24	109	0.2055	3.7883	0.4682	2.8310	8 	 True 	 True
20	10	19	 	 10	5	1	123	576	1.1040	7.3935	0.7924	-1.0000	0 	 True 	 False
20	10	18	 	 10	5	2	29	585	0.2467	7.4818	0.3355	7.0916	6 	 True 	 True
20	10	15	 	 10	5	3	64	71	0.4529	1.1394	1.7423	2.3443	5 	 True 	 True
20	10	18	 	 10	5	4	29	572	0.2649	10.7422	0.3266	10.1643	6 	 True 	 True
20	10	14	 	 9	5	5	35	589	0.2118	8.1705	0.3561	3.8330	7 	 True 	 True
20	20	20	 	 20	3	1	17	37	0.3389	3.8075	1.0959	28.4339	7 	 True 	 True
20	20	20	 	 20	3	2	16	33	0.3134	5.3433	1.2223	10.1329	8 	 True 	 True
20	20	20	 	 20	3	3	18	114	0.3385	24.3920	1.2007	16.1643	7 	 True 	 True
20	20	20	 	 20	3	4	22	87	0.4222	22.5303	0.9477	12.9290	8 	 True 	 True
20	20	20	 	 20	3	5	35	111	0.6481	13.9326	0.9808	14.8903	6 	 True 	 True
20	20	20	 	 20	4	1	33	84	0.6099	12.2222	1.0165	12.3138	8 	 True 	 True
20	20	20	 	 20	4	2	15	90	0.2870	11.1006	0.9469	12.4388	7 	 True 	 True
20	20	20	 	 20	4	3	16	269	0.2961	31.1960	0.7537	10.2761	10 	 True 	 True
20	20	20	 	 20	4	4	59	213	1.0826	21.7694	2.7962	8.6257	9 	 True 	 True
20	20	20	 	 20	4	5	59	362	1.0465	42.4268	0.4409	7.2233	9 	 True 	 True
20	20	20	 	 20	5	1	141	107	2.5014	5.9937	1.6517	9.5219	8 	 True 	 True
20	20	20	 	 19	5	2	39	111	0.6675	4.5092	1.3588	22.0722	8 	 True 	 True
20	20	20	 	 20	5	3	23	208	0.4201	8.9072	1.2730	4.0424	10 	 True 	 True
20	20	20	 	 19	5	4	48	250	0.8271	17.0437	0.8221	4.2584	9 	 True 	 True
20	20	19	 	 20	5	5	40	74	0.6829	2.7166	1.1422	9.0851	7 	 True 	 True
20	30	20	 	 30	3	1	17	70	0.4623	18.5500	1.2732	21.9792	8 	 True 	 True
20	30	20	 	 30	3	2	19	44	0.5107	7.8652	1.7136	26.4461	7 	 True 	 True
20	30	20	 	 30	3	3	17	32	0.4587	9.7671	1.4045	16.9257	8 	 True 	 True
20	30	20	 	 29	3	4	24	57	0.6331	16.3425	1.6727	22.2822	7 	 True 	 True
20	30	20	 	 30	3	5	22	85	0.5888	21.2850	1.1833	15.0587	7 	 True 	 True
20	30	20	 	 30	4	1	17	53	0.4612	6.0435	1.0771	4.6445	9 	 True 	 True
20	30	20	 	 30	4	2	87	78	2.2425	9.1130	1.3206	16.5924	10 	 True 	 True
20	30	20	 	 30	4	3	23	139	0.6115	29.4658	1.5428	11.4937	11 	 True 	 True
20	30	20	 	 30	4	4	23	53	0.6370	9.3424	1.4993	6.6173	10 	 True 	 True
20	30	20	 	 30	4	5	25	103	0.6604	17.0776	1.4014	16.2951	10 	 True 	 True
20	30	20	 	 30	5	1	37	55	0.9717	5.1975	1.8333	5.9144	11 	 True 	 True
20	30	20	 	 29	5	2	75	90	1.8795	4.0171	1.9149	5.1943	11 	 True 	 True
20	30	20	 	 30	5	3	98	196	2.5229	20.6958	2.2654	12.2390	12 	 True 	 True
20	30	20	 	 29	5	4	44	139	1.1100	6.1706	1.9985	3.1028	11 	 True 	 True
20	30	20	 	 30	5	5	36	117	0.9458	11.4000	1.6708	9.1196	10 	 True 	 True
20	40	20	 	 40	3	1	24	45	0.8544	13.5580	1.4439	37.0156	7 	 True 	 True
20	40	20	 	 40	3	2	22	44	0.7868	15.0231	1.5731	13.2031	7 	 True 	 True
20	40	20	 	 40	3	3	22	50	0.7805	20.8579	1.2524	27.1417	7 	 True 	 True
20	40	20	 	 40	3	4	18	132	0.6418	31.8257	1.9717	39.9225	8 	 True 	 True
20	40	20	 	 40	3	5	21	32	0.7460	10.9648	1.5565	14.6382	9 	 True 	 True
20	40	20	 	 40	4	1	27	116	0.9485	24.8444	1.8665	14.5419	9 	 True 	 True
20	40	20	 	 40	4	2	21	47	0.7446	12.3651	1.6898	21.9421	8 	 True 	 True
20	40	20	 	 40	4	3	44	39	1.5220	2.9784	2.4010	5.9034	10 	 True 	 True
20	40	20	 	 40	4	4	31	116	1.0872	34.8232	1.3645	6.7844	10 	 True 	 True
20	40	20	 	 40	4	5	24	97	0.8475	28.1942	1.5951	22.0038	9 	 True 	 True
20	40	20	 	 40	5	1	30	77	1.0569	8.2651	1.9802	6.5286	10 	 True 	 True
20	40	20	 	 40	5	2	60	100	2.0535	13.2376	1.8757	9.3851	11 	 True 	 True
20	40	20	 	 40	5	3	24	62	0.8463	5.7072	1.5578	5.1770	11 	 True 	 True
20	40	20	 	 38	5	4	24	179	0.8022	9.9444	1.5134	9.7752	12 	 True 	 True
20	40	20	 	 38	5	5	67	45	2.1812	2.5089	2.3013	9.1756	13 	 True 	 True
20	50	20	 	 50	3	1	28	61	1.2140	22.6983	2.1113	13.8384	7 	 True 	 True
20	50	20	 	 50	3	2	23	47	1.0143	21.0263	1.9294	12.9810	9 	 True 	 True
20	50	20	 	 50	3	3	17	67	0.7570	17.5624	1.7544	39.8218	8 	 True 	 True
20	50	20	 	 50	3	4	24	66	1.0541	30.3700	1.5067	24.7043	8 	 True 	 True
20	50	20	 	 50	3	5	22	41	0.9694	21.8316	1.7638	20.6253	9 	 True 	 True
20	50	20	 	 50	4	1	31	23	1.3399	4.0080	2.9227	17.7343	11 	 True 	 True
20	50	20	 	 50	4	2	46	66	1.9718	11.1862	2.6733	14.9019	11 	 True 	 True
20	50	20	 	 50	4	3	25	51	1.0748	957.9819	1.9497	18.2591	9 	 True 	 True
20	50	20	 	 50	4	4	38	38	1.6079	10.1845	2.1517	11.4489	11 	 True 	 True
20	50	20	 	 50	4	5	26	37	1.1155	5.1139	1.5758	9.0967	10 	 True 	 True
20	50	20	 	 49	5	1	62	146	2.5434	10.2215	2.3165	6.5619	12 	 True 	 True
20	50	20	 	 49	5	2	25	61	1.0522	4.0121	2.3026	7.7834	12 	 True 	 True
20	50	20	 	 49	5	3	52	107	2.1376	203.9584	2.7712	11.4474	11 	 True 	 True
20	50	20	 	 50	5	4	31	160	1.3265	16.8671	1.8123	8.0881	13 	 True 	 True
20	50	20	 	 49	5	5	80	149	3.2743	10.0367	2.8354	10.4777	13 	 True 	 True
30	10	29	 	 10	3	1	31	290	0.4133	73.7677	0.3978	17.2120	7 	 True 	 True
30	10	29	 	 10	3	2	15	424	0.2050	50.8424	0.2001	25.4123	6 	 True 	 True
30	10	30	 	 10	3	3	22	216	0.3074	38.0292	0.3018	19.8704	8 	 True 	 True
30	10	30	 	 10	3	4	17	113	0.2419	7.5480	0.4057	25.6109	6 	 True 	 True
30	10	28	 	 10	3	5	19	323	0.2513	24.8611	0.4685	34.5813	5 	 True 	 True
30	10	27	 	 10	4	1	38	183	0.4701	954.8869	0.1433	9.3621	8 	 True 	 True
30	10	28	 	 10	4	2	14	180	0.2070	18.9158	0.3214	9.7916	7 	 True 	 True
30	10	25	 	 10	4	3	32	1353	0.4102	851.5203	0.2503	16.7337	7 	 True 	 True
30	10	27	 	 10	4	4	23	1054	0.3023	77.7402	0.3521	29.4167	6 	 True 	 True
30	10	27	 	 10	4	5	21	89	0.2820	9.1364	0.3299	7.7953	7 	 True 	 True
30	10	23	 	 10	5	1	136	356	1.4355	11.3003	0.1923	6.7685	7 	 True 	 True
30	10	21	 	 10	5	2	25	65	0.2509	2.7263	0.7407	8.7629	6 	 True 	 True
30	10	28	 	 10	5	3	14	193	0.2017	7.7462	0.2866	16.6183	9 	 True 	 True
30	10	22	 	 10	5	4	52	270	0.5354	8.1569	0.5632	8.4557	8 	 True 	 True
30	10	25	 	 10	5	5	20	82	0.2448	5.3332	0.2870	3.8714	8 	 True 	 True
30	20	30	 	 20	3	1	18	109	0.5009	52.7036	0.6903	27.5446	9 	 True 	 True
30	20	30	 	 20	3	2	23	139	0.6380	54.3227	0.5725	28.1071	7 	 True 	 True
30	20	30	 	 20	3	3	16	67	0.4481	28.9674	1.0133	23.6153	6 	 True 	 True
30	20	30	 	 20	3	4	20	83	0.5472	29.2457	0.7230	39.9649	8 	 True 	 True
30	20	30	 	 20	3	5	13	77	0.3663	34.8786	0.6363	26.1737	7 	 True 	 True
30	20	30	 	 20	4	1	22	137	0.6108	79.3915	0.8198	12.4880	7 	 True 	 True
30	20	30	 	 20	4	2	15	114	0.4177	21.1216	0.5785	21.5487	7 	 True 	 True
30	20	29	 	 20	4	3	31	219	0.8125	58.5824	0.4822	15.9087	8 	 True 	 True
